Theme;Health;Health;Health;Economic security;Safety;Safety;Education;Children;Families;Access;Environ-ment;Happiness;;;;;;;;;;;;;;;;;;;;
Indicator name;Life Expectancy;Childhood Obesity;Incapacity Benefits claimant rate;Unemployment rate;Crime rate;Deliberate Fires;GCSE point scores;Unauthorised Pupil Absence;Children in out-of-work households;Public Transport Accessibility Scores;Access to public open space & nature;Subjective well-being average score;;;;;;;;;;;;;;;;;;;;
Importance;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
"
10 = very important and 
0 = not important at all";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Overall well-being probability score (E&W = 0);;;;;;;;;;;;;;;;;;;;;;;;;;;
Croydon;E05000147;Ashburton;;;-2;-2;-2;-2;-17;;-3,7;;;;0;0;0;-15;;;;;;;;;;;;;;
Croydon;E05000148;Bensham Manor;;;3;3;3;3;-6;;-2,4;;;;0;0;0;-9;;;;;;;;;;;;;;
Croydon;E05000149;Broad Green;;;-12;-12;-12;-12;-4;;1,9;;;;0;0;0;8;;;;;;;;;;;;;;
Croydon;E05000150;Coulsdon East;;;18;18;18;18;13;;-1,1;;;;0;0;0;-4;;;;;;;;;;;;;;
Croydon;E05000151;Coulsdon West;;;0;0;0;0;13;;3,4;;;;0;0;0;13;;;;;;;;;;;;;;
Croydon;E05000152;Croham;;;11;11;11;11;-4;;-3,7;;;;0;0;0;-15;;;;;;;;;;;;;;
Croydon;E05000153;Fairfield;;;3;3;3;3;-4;;-1,8;;;;0;0;0;-7;;;;;;;;;;;;;;
Croydon;E05000154;Fieldway;;;-1;-1;-1;-1;-1;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Croydon;E05000155;Heathfield;;;13;13;13;13;-1;;-3,4;;;;0;0;0;-14;;;;;;;;;;;;;;
Croydon;E05000156;Kenley;;;-2;-2;-2;-2;13;;3,8;;;;0;0;0;15;;;;;;;;;;;;;;
Croydon;E05000157;New Addington;;;0;0;0;0;-1;;-0,3;;;;0;0;0;-1;;;;;;;;;;;;;;
Croydon;E05000158;Norbury;;;17;17;17;17;-6;;-5,7;;;;0;0;0;-23;;;;;;;;;;;;;;
Croydon;E05000159;Purley;;;20;20;20;20;13;;-1,7;;;;0;0;0;-7;;;;;;;;;;;;;;
Croydon;E05000160;Sanderstead;;;7;7;7;7;13;;1,7;;;;0;0;0;7;;;;;;;;;;;;;;
Croydon;E05000161;Selhurst;;;-6;-6;-6;-6;-6;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Croydon;E05000162;Selsdon and Ballards;;;2;2;2;2;-1;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Croydon;E05000163;Shirley;;;8;8;8;8;-1;;-2,2;;;;0;0;0;-9;;;;;;;;;;;;;;
Croydon;E05000164;South Norwood;;;1;1;1;1;-17;;-4,6;;;;0;0;0;-18;;;;;;;;;;;;;;
Croydon;E05000165;Thornton Heath;;;-19;-19;-19;-19;-6;;3,3;;;;0;0;0;13;;;;;;;;;;;;;;
Croydon;E05000166;Upper Norwood;;;-9;-9;-9;-9;-17;;-2,2;;;;0;0;0;-9;;;;;;;;;;;;;;
Croydon;E05000167;Waddon;;;-17;-17;-17;-17;-4;;3,2;;;;0;0;0;13;;;;;;;;;;;;;;
Croydon;E05000168;West Thornton;;;-2;-2;-2;-2;-6;;-1,1;;;;0;0;0;-4;;;;;;;;;;;;;;
Croydon;E05000169;Woodside;;;-4;-4;-4;-4;-17;;-3,3;;;;0;0;0;-13;;;;;;;;;;;;;;
Ealing;E05000170;Acton Central;;;-2;-2;-2;-2;3;;1,2;;;;0;0;0;5;;;;;;;;;;;;;;
Ealing;E05000171;Cleveland;;;13;13;13;13;15;;0,5;;;;0;0;0;2;;;;;;;;;;;;;;
Ealing;E05000172;Dormers Wells;;;1;1;1;1;21;;5,0;;;;0;0;0;20;;;;;;;;;;;;;;
Ealing;E05000173;Ealing Broadway;;;6;6;6;6;15;;2,3;;;;0;0;0;9;;;;;;;;;;;;;;
Ealing;E05000174;Ealing Common;;;8;8;8;8;15;;1,7;;;;0;0;0;7;;;;;;;;;;;;;;
Ealing;E05000175;East Acton;;;-12;-12;-12;-12;3;;3,9;;;;0;0;0;16;;;;;;;;;;;;;;
Ealing;E05000176;Elthorne;;;4;4;4;4;15;;2,9;;;;0;0;0;12;;;;;;;;;;;;;;
Ealing;E05000177;Greenford Broadway;;;-13;-13;-13;-13;1;;3,5;;;;0;0;0;14;;;;;;;;;;;;;;
Ealing;E05000178;Greenford Green;;;3;3;3;3;1;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Ealing;E05000179;Hanger Hill;;;-2;-2;-2;-2;3;;1,4;;;;0;0;0;6;;;;;;;;;;;;;;
Ealing;E05000180;Hobbayne;;;-1;-1;-1;-1;15;;4,1;;;;0;0;0;17;;;;;;;;;;;;;;
Ealing;E05000181;Lady Margaret;;;10;10;10;10;21;;2,7;;;;0;0;0;11;;;;;;;;;;;;;;
Ealing;E05000182;Northfield;;;0;0;0;0;15;;3,9;;;;0;0;0;16;;;;;;;;;;;;;;
Ealing;E05000183;North Greenford;;;-25;-25;-25;-25;1;;6,5;;;;0;0;0;26;;;;;;;;;;;;;;
Ealing;E05000184;Northolt Mandeville;;;1;1;1;1;1;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Ealing;E05000185;Northolt West End;;;-5;-5;-5;-5;1;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Ealing;E05000186;Norwood Green;;;12;12;12;12;21;;2,2;;;;0;0;0;9;;;;;;;;;;;;;;
Ealing;E05000187;Perivale;;;-18;-18;-18;-18;1;;4,5;;;;0;0;0;18;;;;;;;;;;;;;;
Ealing;E05000188;South Acton;;;-8;-8;-8;-8;3;;2,9;;;;0;0;0;12;;;;;;;;;;;;;;
Ealing;E05000189;Southall Broadway;;;17;17;17;17;21;;0,9;;;;0;0;0;4;;;;;;;;;;;;;;
Ealing;E05000190;Southall Green;;;22;22;22;22;21;;-0,4;;;;0;0;0;-1;;;;;;;;;;;;;;
Ealing;E05000191;Southfield;;;-11;-11;-11;-11;3;;3,6;;;;0;0;0;14;;;;;;;;;;;;;;
Ealing;E05000192;Walpole;;;9;9;9;9;15;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Enfield;E05000193;Bowes;;;-17;-17;-17;-17;-14;;0,9;;;;0;0;0;4;;;;;;;;;;;;;;
Enfield;E05000194;Bush Hill Park;;;-5;-5;-5;-5;-14;;-2,1;;;;0;0;0;-8;;;;;;;;;;;;;;
Enfield;E05000195;Chase;;;-25;-25;-25;-25;-21;;1,1;;;;0;0;0;4;;;;;;;;;;;;;;
Enfield;E05000196;Cockfosters;;;-12;-12;-12;-12;-14;;-0,4;;;;0;0;0;-2;;;;;;;;;;;;;;
Enfield;E05000197;Edmonton Green;;;-5;-5;-5;-5;-11;;-1,3;;;;0;0;0;-5;;;;;;;;;;;;;;
