Code;Ward name;LAD code;Borough;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
E05000114;Cray Valley East;E09000006;Bromley;28610;28830;29990;31720;32180;34090;34590;37000;36950;38280;39600;40390;;23240;23480;24070;25420;25400;26810;27540;28340;29520;30270;31690;32230
E05000115;Cray Valley West;E09000006;Bromley;27600;27880;29060;30800;31300;33230;33790;36200;36210;37580;38930;39760;;22430;22710;23340;24690;24720;26140;26900;27730;28930;29710;31150;31740
E05000116;Crystal Palace;E09000006;Bromley;28840;29230;30560;32490;33120;35250;35930;38590;38680;40230;41750;42730;;23420;23790;24520;26020;26130;27700;28580;29530;30880;31770;33380;34060
E05000117;Darwin;E09000006;Bromley;38440;38850;40500;42910;43590;46220;46940;50220;50160;51960;53730;54780;;30480;30890;31740;33580;33610;35520;36520;37610;39190;40190;42090;42810
E05000118;Farnborough and Crofton;E09000006;Bromley;38000;38670;40580;43260;44210;47140;48120;51740;51910;54010;56080;57400;;30170;30760;31800;33820;34020;36130;37320;38600;40380;41570;43680;44590
E05000119;Hayes and Coney Hall;E09000006;Bromley;39000;39670;41610;44350;45310;48320;49330;53060;53250;55440;57600;59000;;30860;31450;32500;34560;34760;36910;38130;39440;41280;42520;44700;45660
E05000120;Kelsey and Eden Park;E09000006;Bromley;38340;38970;40860;43520;44440;47360;48320;51930;52080;54180;56250;57560;;30400;30970;31990;34000;34180;36280;37450;38720;40500;41680;43800;44700
E05000121;Mottingham and Chislehurst North;E09000006;Bromley;27440;27770;29010;30810;31390;33390;34030;36550;36640;38110;39570;40510;;22300;22630;23300;24700;24780;26270;27090;28000;29280;30130;31670;32330
E05000122;Orpington;E09000006;Bromley;33870;34200;35630;37740;38320;40630;41250;44130;44060;45640;47190;48100;;27230;27580;28330;29960;29970;31660;32540;33500;34900;35780;37460;38090
E05000123;Penge and Cator;E09000006;Bromley;30040;30500;31940;34020;34740;37040;37820;40690;40860;42570;44270;45390;;24360;24790;25590;27200;27350;29050;30010;31070;32540;33540;35300;36090
